01 LACHA,000001,F,3775.0,2500.0,1550.0,1800.0,13.0
02 LACHA,000002,L,10000.0,7500.0,6666.6666670000004,7500.0,0.0
03 LACHA,000003,L,5500.0,3500.0,3666.666667,4125.0,0.0
04 LACHA,000004,L,6500.0,3200.0,4333.3333329999996,4875.0,0.0
05 LACHA,000005,L,6000.0,3800.0,4000.0,4500.0,-1.0
06 LACHA,000006,L,6000.0,3000.0,4000.0,4500.0,0.0
07 LACHA,000007,L,9000.0,4500.0,6000.0,6750.0,-1.0
08 LACHA,000008,L,13000.0,6500.0,8666.6666669999995,9750.0,-1.0
09 LACHA,000009,L,11000.0,5500.0,7333.3333329999996,8250.0,-2.0
10 LACHA,000010,L,10000.0,5000.0,6666.6666670000004,7500.0,0.0
11 LACHA,000011,L,6500.0,3250.0,4333.3333329999996,4875.0,0.0
12 LACHA,000012,L,8400.0,4200.0,5600.0,6300.0,0.0
13 LACHA,000013,L,8000.0,4000.0,5333.3333329999996,6000.0,0.0
14 LACHA,000014,L,15000.0,7500.0,10000.0,11250.0,0.0
15 LACHA,000015,L,8400.0,4200.0,5600.0,6300.0,0.0
3 Pcs,0002848,C,0.0,0.0,0.0,0.0,0.0
7 Clouds,001556,T,1350.0,1200.0,900.0,1012.5,-2.0
Aaj Tak VC,000016,S,458.0,420.0,305.33333329999999,343.5,0.0
AARJU BHUMI,000017,S,653.0,550.0,435.33333329999999,489.75,0.0
Aarohi,001574,S,1260.0,1150.0,840.0,945.0,0.0
Aarti Turkish Towel,002288,General,61.0,60.0,40.670000000000002,50.0,553.0
Aatish,001697,S,2527.5,2250.0,1685.0,1895.625,0.0
Abc Karma,001601,S,382.0,300.0,254.66666670000001,286.5,-2.0
ABC Rutba,002098,C,450.0,400.0,300.0,337.5,0.0
Activa Astar,000018,General,30.0,25.0,20.0,23.5,4283.0
AF DURANDHAR,0002983,CS,570.0,500.0,380.0,415.0,0.0
AF GALAXY,0002985,CS,570.0,500.0,380.0,405.0,0.0
AF GULZAR,0002981,CS,525.0,500.0,350.0,380.0,0.0
AF MAUSAM,0002980,CS,592.5,500.0,395.0,425.0,1.0
AF NEW MOONLIGH,0002982,CS,555.0,500.0,370.0,400.0,4.0
AF NEW RAJBHOG,0002984,CS,622.5,550.0,415.0,450.0,0.0
Af Sana,002051,S,697.5,600.0,465.0,523.125,3.0
AFSANA,000019,S,652.0,550.0,434.66666670000001,489.0,0.0
Agarwal Pure Cotton Dupatta Printed,000020,General,57.0,50.0,38.0,42.75,0.0
Agarwal Pure Cotton Dupatta Printed Two,000021,General,57.0,50.0,0.0,0.0,0.0
Agarwal Slub Cotton Vintage Type,000022,S,308.0,250.0,205.33333329999999,231.0,0.0
Ahd Chiffon Dupatta,002310,CS,492.0,450.0,328.0,370.0,8.0
